TestID,WorkOrderNumber,ProductCode,TestDate,TestTime,TestType,TestParameter,SpecificationMin,SpecificationMax,ActualValue,Result,InspectorID,BatchLotNumber,SampleSize
QC20250820178,WO20250820207,PRINTER_LX767,2025-08-20,14:53:51,Final,Leak Test,1.0,1.0,0.0,Fail,QC002,LOT20250820048,25
QC20250820179,WO20250820340,PRINTER_CN894,2025-08-20,10:33:57,In-Process,Weight Check,1.0,1.0,0.0,Fail,QC001,LOT20250820068,10
QC20250820180,WO20250820079,PRINTER_CN383,2025-08-20,11:02:27,Final,Leak Test,1.0,1.0,1.0,Pass,QC004,LOT20250820063,20
QC20250820181,WO20250820328,PRINTER_BR515,2025-08-20,08:39:25,Final,Temperature Resistance,1.0,1.0,0.0,Fail,QC003,LOT20250820094,15
QC20250820182,WO20250820295,PRINTER_EP851,2025-08-20,17:30:21,In-Process,Ink Volume,8.5,9.5,8.08,Fail,QC001,LOT20250820062,15
QC20250820183,WO20250820460,PRINTER_EP701,2025-08-20,13:38:40,In-Process,Weight Check,1.0,1.0,1.0,Pass,QC006,LOT20250820059,15
QC20250820184,WO20250820045,PRINTER_HP723,2025-08-20,12:33:24,In-Process,Leak Test,1.0,1.0,1.0,Pass,QC001,LOT20250820096,5
QC20250820185,WO20250820405,PRINTER_LX634,2025-08-20,15:27:16,Final,Chip Function,1.0,1.0,1.0,Pass,QC003,LOT20250820041,5
QC20250820186,WO20250820393,PRINTER_EP798,2025-08-20,14:19:56,Incoming,Durability,1.0,1.0,1.0,Pass,QC005,LOT20250820055,10
QC20250820187,WO20250820479,PRINTER_HP936,2025-08-20,08:36:13,Final,Weight Check,1.0,1.0,0.0,Fail,QC001,LOT20250820051,10
QC20250820188,WO20250820429,PRINTER_HP088,2025-08-20,13:36:30,In-Process,Color Density,75.0,95.0,97.7,Fail,QC005,LOT20250820036,25
QC20250820189,WO20250820406,PRINTER_CN313,2025-08-20,17:10:30,Outgoing,Leak Test,1.0,1.0,0.0,Fail,QC005,LOT20250820099,15
QC20250820190,WO20250820224,PRINTER_HP978,2025-08-20,09:51:40,Incoming,Page Yield,450.0,500.0,402.0,Fail,QC002,LOT20250820039,25
QC20250820191,WO20250820003,PRINTER_HP859,2025-08-20,13:55:14,Outgoing,Chip Function,1.0,1.0,1.0,Pass,QC005,LOT20250820052,20
QC20250820192,WO20250820383,PRINTER_BR107,2025-08-20,13:20:16,Final,Leak Test,1.0,1.0,0.0,Fail,QC005,LOT20250820020,20
QC20250820193,WO20250820021,PRINTER_LX912,2025-08-20,14:31:54,Final,Leak Test,1.0,1.0,0.0,Fail,QC001,LOT20250820081,15
QC20250820194,WO20250820384,PRINTER_CN405,2025-08-20,12:39:36,Incoming,Ink Volume,8.5,9.5,9.0,Pass,QC005,LOT20250820045,20
QC20250820195,WO20250820228,PRINTER_CN823,2025-08-20,16:23:47,Incoming,Color Density,75.0,95.0,99.4,Fail,QC003,LOT20250820042,10
QC20250820196,WO20250820286,PRINTER_CN882,2025-08-20,08:43:31,Outgoing,Temperature Resistance,1.0,1.0,1.0,Pass,QC001,LOT20250820021,20
QC20250820197,WO20250820094,PRINTER_BR267,2025-08-20,11:38:23,Outgoing,Dimension Check,1.0,1.0,1.0,Pass,QC004,LOT20250820001,20
QC20250820198,WO20250820288,PRINTER_LX796,2025-08-20,08:53:30,Final,Ink Volume,8.5,9.5,9.17,Pass,QC006,LOT20250820073,5
QC20250820199,WO20250820311,PRINTER_LX067,2025-08-20,15:30:23,Final,Ink Volume,8.5,9.5,7.88,Fail,QC003,LOT20250820039,5
QC20250820200,WO20250820407,PRINTER_EP619,2025-08-20,10:21:13,Incoming,Leak Test,1.0,1.0,1.0,Pass,QC002,LOT20250820067,10
QC20250820201,WO20250820265,PRINTER_EP679,2025-08-20,17:30:17,Outgoing,Dimension Check,1.0,1.0,1.0,Pass,QC003,LOT20250820075,5
QC20250820202,WO20250820247,PRINTER_HP371,2025-08-20,13:19:46,Final,Chip Function,1.0,1.0,1.0,Pass,QC004,LOT20250820069,20
QC20250820203,WO20250820337,PRINTER_BR105,2025-08-20,13:55:26,In-Process,Color Density,75.0,95.0,91.8,Pass,QC003,LOT20250820099,25
QC20250820204,WO20250820440,PRINTER_HP499,2025-08-20,14:44:15,Final,Ink Volume,8.5,9.5,8.36,Fail,QC004,LOT20250820060,5
QC20250820205,WO20250820027,PRINTER_HP113,2025-08-20,09:21:41,Final,Dimension Check,1.0,1.0,1.0,Pass,QC003,LOT20250820079,15
QC20250820206,WO20250820124,PRINTER_HP839,2025-08-20,12:44:34,Outgoing,Color Density,75.0,95.0,75.2,Pass,QC004,LOT20250820065,15
QC20250820207,WO20250820206,PRINTER_EP107,2025-08-20,11:21:17,Outgoing,Page Yield,450.0,500.0,424.0,Fail,QC003,LOT20250820084,15
QC20250820208,WO20250820240,PRINTER_CN635,2025-08-20,13:09:15,In-Process,Weight Check,1.0,1.0,1.0,Pass,QC003,LOT20250820071,5
QC20250820209,WO20250820428,PRINTER_LX805,2025-08-20,13:31:47,Final,Dimension Check,1.0,1.0,1.0,Pass,QC001,LOT20250820084,20
QC20250820210,WO20250820207,PRINTER_HP160,2025-08-20,16:49:58,Final,Ink Volume,8.5,9.5,9.44,Pass,QC002,LOT20250820028,15
QC20250820211,WO20250820228,PRINTER_HP308,2025-08-20,08:29:06,Final,Leak Test,1.0,1.0,1.0,Pass,QC001,LOT20250820033,20
QC20250820212,WO20250820343,PRINTER_LX501,2025-08-20,11:18:07,Final,Temperature Resistance,1.0,1.0,1.0,Pass,QC005,LOT20250820092,10
QC20250820213,WO20250820256,PRINTER_EP382,2025-08-20,14:02:07,Outgoing,Print Quality,85.0,100.0,80.7,Fail,QC001,LOT20250820003,5
QC20250820214,WO20250820236,PRINTER_EP631,2025-08-20,08:42:54,Incoming,Ink Volume,8.5,9.5,8.6,Conditional Pass,QC004,LOT20250820059,25
QC20250820215,WO20250820405,PRINTER_EP589,2025-08-20,08:31:34,Outgoing,Durability,1.0,1.0,0.0,Fail,QC003,LOT20250820041,5
QC20250820216,WO20250820204,PRINTER_CN113,2025-08-20,13:37:51,In-Process,Weight Check,1.0,1.0,1.0,Pass,QC006,LOT20250820032,15
QC20250820217,WO20250820102,PRINTER_BR499,2025-08-20,11:23:56,Final,Weight Check,1.0,1.0,1.0,Conditional Pass,QC001,LOT20250820059,10
QC20250820218,WO20250820069,PRINTER_LX552,2025-08-20,11:17:49,Incoming,Chip Function,1.0,1.0,0.0,Fail,QC001,LOT20250820097,10
QC20250820219,WO20250820314,PRINTER_HP077,2025-08-20,12:12:03,Outgoing,Page Yield,450.0,500.0,442.0,Fail,QC003,LOT20250820079,10
QC20250820220,WO20250820222,PRINTER_BR872,2025-08-20,11:20:30,Outgoing,Dimension Check,1.0,1.0,0.0,Fail,QC003,LOT20250820067,5
QC20250820221,WO20250820101,PRINTER_HP681,2025-08-20,08:58:29,In-Process,Temperature Resistance,1.0,1.0,1.0,Pass,QC005,LOT20250820020,20
QC20250820222,WO20250820423,PRINTER_HP526,2025-08-20,10:54:21,In-Process,Leak Test,1.0,1.0,0.0,Fail,QC004,LOT20250820076,15
QC20250820223,WO20250820363,PRINTER_HP145,2025-08-20,16:55:48,Outgoing,Leak Test,1.0,1.0,0.0,Fail,QC002,LOT20250820087,10
QC20250820224,WO20250820490,PRINTER_CN816,2025-08-20,10:04:16,In-Process,Temperature Resistance,1.0,1.0,0.0,Fail,QC001,LOT20250820014,25
QC20250820225,WO20250820251,PRINTER_LX582,2025-08-20,10:53:21,Final,Leak Test,1.0,1.0,1.0,Pass,QC003,LOT20250820081,15
QC20250820226,WO20250820194,PRINTER_EP717,2025-08-20,11:11:23,Final,Page Yield,450.0,500.0,473.0,Pass,QC001,LOT20250820067,5
QC20250820227,WO20250820409,PRINTER_LX682,2025-08-20,13:05:13,Outgoing,Dimension Check,1.0,1.0,0.0,Fail,QC001,LOT20250820088,15
QC20250820228,WO20250820074,PRINTER_HP212,2025-08-20,16:52:41,Incoming,Durability,1.0,1.0,0.0,Fail,QC006,LOT20250820055,25
QC20250820229,WO20250820155,PRINTER_HP550,2025-08-20,12:55:31,Incoming,Page Yield,450.0,500.0,497.0,Pass,QC002,LOT20250820004,5
QC20250820230,WO20250820134,PRINTER_LX250,2025-08-20,11:15:20,Final,Print Quality,85.0,100.0,102.0,Fail,QC004,LOT20250820022,25
QC20250820231,WO20250820107,PRINTER_BR012,2025-08-20,11:00:32,Outgoing,Leak Test,1.0,1.0,1.0,Pass,QC004,LOT20250820006,25
QC20250820232,WO20250820006,PRINTER_BR678,2025-08-20,15:27:06,In-Process,Dimension Check,1.0,1.0,1.0,Pass,QC005,LOT20250820048,5
QC20250820233,WO20250820248,PRINTER_BR670,2025-08-20,15:44:53,Incoming,Leak Test,1.0,1.0,0.0,Fail,QC004,LOT20250820019,5
QC20250820234,WO20250820145,PRINTER_LX537,2025-08-20,16:25:35,Incoming,Page Yield,450.0,500.0,426.0,Fail,QC005,LOT20250820029,5
QC20250820235,WO20250820116,PRINTER_CN397,2025-08-20,12:41:21,Outgoing,Page Yield,450.0,500.0,509.0,Fail,QC001,LOT20250820076,25
QC20250820236,WO20250820043,PRINTER_BR038,2025-08-20,13:45:57,In-Process,Durability,1.0,1.0,0.0,Fail,QC003,LOT20250820073,5
QC20250820237,WO20250820495,PRINTER_LX737,2025-08-20,15:41:00,In-Process,Page Yield,450.0,500.0,433.0,Fail,QC006,LOT20250820015,25
QC20250820238,WO20250820231,PRINTER_HP127,2025-08-20,16:04:47,Final,Weight Check,1.0,1.0,0.0,Fail,QC005,LOT20250820019,25
QC20250820239,WO20250820201,PRINTER_BR978,2025-08-20,08:29:17,In-Process,Ink Volume,8.5,9.5,9.9,Fail,QC001,LOT20250820077,10
QC20250820240,WO20250820327,PRINTER_BR747,2025-08-20,10:49:55,Final,Color Density,75.0,95.0,82.0,Conditional Pass,QC002,LOT20250820015,20
QC20250820241,WO20250820293,PRINTER_HP564,2025-08-20,16:29:23,Final,Weight Check,1.0,1.0,0.0,Fail,QC005,LOT20250820030,10
QC20250820242,WO20250820396,PRINTER_EP559,2025-08-20,11:48:32,Final,Chip Function,1.0,1.0,0.0,Conditional Pass,QC003,LOT20250820058,10
QC20250820243,WO20250820454,PRINTER_EP872,2025-08-20,09:30:19,Final,Page Yield,450.0,500.0,496.0,Pass,QC006,LOT20250820091,15
QC20250820244,WO20250820063,PRINTER_HP898,2025-08-20,10:47:05,Final,Print Quality,85.0,100.0,102.2,Fail,QC002,LOT20250820070,10
QC20250820245,WO20250820097,PRINTER_HP586,2025-08-20,13:23:32,Outgoing,Durability,1.0,1.0,0.0,Fail,QC003,LOT20250820098,25
QC20250820246,WO20250820233,PRINTER_HP505,2025-08-20,15:05:54,Outgoing,Print Quality,85.0,100.0,80.8,Fail,QC005,LOT20250820058,5
QC20250820247,WO20250820458,PRINTER_LX311,2025-08-20,09:08:16,Outgoing,Print Quality,85.0,100.0,84.9,Fail,QC003,LOT20250820070,10
QC20250820248,WO20250820390,PRINTER_LX605,2025-08-20,13:13:15,Outgoing,Leak Test,1.0,1.0,1.0,Pass,QC005,LOT20250820059,20
QC20250820249,WO20250820235,PRINTER_BR887,2025-08-20,14:54:03,Incoming,Leak Test,1.0,1.0,1.0,Pass,QC003,LOT20250820084,25
QC20250820250,WO20250820410,PRINTER_BR693,2025-08-20,11:53:05,Outgoing,Chip Function,1.0,1.0,0.0,Fail,QC002,LOT20250820034,25
QC20250820251,WO20250820406,PRINTER_BR767,2025-08-20,15:21:58,Outgoing,Page Yield,450.0,500.0,487.0,Pass,QC001,LOT20250820039,25
QC20250820252,WO20250820144,PRINTER_LX880,2025-08-20,08:37:19,Outgoing,Chip Function,1.0,1.0,0.0,Fail,QC003,LOT20250820050,5
QC20250820253,WO20250820439,PRINTER_EP866,2025-08-20,12:10:30,Incoming,Dimension Check,1.0,1.0,1.0,Pass,QC006,LOT20250820039,20
QC20250820254,WO20250820212,PRINTER_HP108,2025-08-20,09:03:30,Outgoing,Leak Test,1.0,1.0,1.0,Pass,QC003,LOT20250820038,15
QC20250820255,WO20250820215,PRINTER_EP473,2025-08-20,10:32:36,Outgoing,Color Density,75.0,95.0,75.0,Pass,QC002,LOT20250820038,25
QC20250820256,WO20250820173,PRINTER_EP966,2025-08-20,08:48:13,Incoming,Durability,1.0,1.0,1.0,Pass,QC004,LOT20250820068,15
QC20250820257,WO20250820380,PRINTER_BR012,2025-08-20,14:24:46,In-Process,Leak Test,1.0,1.0,0.0,Fail,QC002,LOT20250820053,25
QC20250820258,WO20250820244,PRINTER_HP640,2025-08-20,15:56:28,Outgoing,Dimension Check,1.0,1.0,1.0,Pass,QC006,LOT20250820027,25
QC20250820259,WO20250820290,PRINTER_BR148,2025-08-20,14:14:31,Outgoing,Durability,1.0,1.0,0.0,Fail,QC004,LOT20250820009,5
QC20250820260,WO20250820029,PRINTER_BR778,2025-08-20,11:22:07,In-Process,Weight Check,1.0,1.0,1.0,Pass,QC006,LOT20250820005,20
QC20250820261,WO20250820277,PRINTER_CN295,2025-08-20,11:10:14,In-Process,Chip Function,1.0,1.0,0.0,Fail,QC002,LOT20250820079,25
QC20250820262,WO20250820476,PRINTER_CN259,2025-08-20,12:24:01,Outgoing,Print Quality,85.0,100.0,100.0,Pass,QC004,LOT20250820073,15
QC20250820263,WO20250820363,PRINTER_CN697,2025-08-20,08:25:39,Final,Color Density,75.0,95.0,75.7,Pass,QC004,LOT20250820042,10
QC20250820264,WO20250820307,PRINTER_EP093,2025-08-20,10:32:21,In-Process,Dimension Check,1.0,1.0,0.0,Conditional Pass,QC004,LOT20250820034,15
QC20250820265,WO20250820272,PRINTER_LX345,2025-08-20,12:34:30,Final,Chip Function,1.0,1.0,0.0,Fail,QC005,LOT20250820081,25
QC20250820266,WO20250820402,PRINTER_HP263,2025-08-20,10:23:22,Final,Color Density,75.0,95.0,85.9,Conditional Pass,QC002,LOT20250820057,20
QC20250820267,WO20250820390,PRINTER_EP994,2025-08-20,10:23:21,Incoming,Dimension Check,1.0,1.0,1.0,Pass,QC006,LOT20250820058,25
QC20250820268,WO20250820204,PRINTER_HP696,2025-08-20,10:02:14,In-Process,Color Density,75.0,95.0,73.7,Fail,QC004,LOT20250820005,5
QC20250820269,WO20250820319,PRINTER_EP574,2025-08-20,14:26:59,In-Process,Durability,1.0,1.0,0.0,Fail,QC004,LOT20250820073,25
QC20250820270,WO20250820398,PRINTER_BR164,2025-08-20,16:31:12,Incoming,Page Yield,450.0,500.0,440.0,Fail,QC005,LOT20250820047,20
QC20250820271,WO20250820089,PRINTER_LX838,2025-08-20,09:30:58,Outgoing,Page Yield,450.0,500.0,476.0,Pass,QC001,LOT20250820031,10
QC20250820272,WO20250820390,PRINTER_CN555,2025-08-20,16:32:00,Outgoing,Print Quality,85.0,100.0,75.6,Fail,QC001,LOT20250820023,25
QC20250820273,WO20250820250,PRINTER_EP347,2025-08-20,09:09:01,In-Process,Color Density,75.0,95.0,91.9,Pass,QC001,LOT20250820011,20
QC20250820274,WO20250820185,PRINTER_EP376,2025-08-20,12:04:25,Final,Weight Check,1.0,1.0,1.0,Pass,QC006,LOT20250820090,5
QC20250820275,WO20250820029,PRINTER_EP416,2025-08-20,14:08:55,Outgoing,Temperature Resistance,1.0,1.0,0.0,Fail,QC003,LOT20250820022,20
QC20250820276,WO20250820349,PRINTER_LX459,2025-08-20,12:17:10,Incoming,Chip Function,1.0,1.0,1.0,Pass,QC005,LOT20250820099,15
QC20250820277,WO20250820150,PRINTER_LX955,2025-08-20,11:12:00,Final,Weight Check,1.0,1.0,1.0,Pass,QC002,LOT20250820089,25
QC20250820278,WO20250820111,PRINTER_BR548,2025-08-20,08:27:03,Incoming,Page Yield,450.0,500.0,485.0,Pass,QC005,LOT20250820020,10
QC20250820279,WO20250820069,PRINTER_BR498,2025-08-20,09:17:47,Final,Weight Check,1.0,1.0,0.0,Fail,QC004,LOT20250820001,5
QC20250820280,WO20250820187,PRINTER_HP740,2025-08-20,09:36:27,Outgoing,Durability,1.0,1.0,1.0,Pass,QC001,LOT20250820080,10
QC20250820281,WO20250820180,PRINTER_HP586,2025-08-20,10:02:07,In-Process,Weight Check,1.0,1.0,1.0,Pass,QC002,LOT20250820091,10
QC20250820282,WO20250820497,PRINTER_LX461,2025-08-20,08:53:17,In-Process,Dimension Check,1.0,1.0,1.0,Pass,QC005,LOT20250820014,15
QC20250820283,WO20250820275,PRINTER_EP937,2025-08-20,13:51:07,Incoming,Leak Test,1.0,1.0,0.0,Fail,QC006,LOT20250820057,5
QC20250820284,WO20250820145,PRINTER_LX169,2025-08-20,08:57:50,Outgoing,Temperature Resistance,1.0,1.0,1.0,Pass,QC001,LOT20250820040,10
QC20250820285,WO20250820154,PRINTER_LX831,2025-08-20,15:52:15,Outgoing,Color Density,75.0,95.0,81.6,Pass,QC001,LOT20250820067,25
QC20250820286,WO20250820122,PRINTER_HP183,2025-08-20,12:41:36,Outgoing,Dimension Check,1.0,1.0,0.0,Fail,QC006,LOT20250820056,20
QC20250820287,WO20250820246,PRINTER_CN904,2025-08-20,12:19:12,Final,Chip Function,1.0,1.0,1.0,Pass,QC005,LOT20250820060,25
QC20250820288,WO20250820254,PRINTER_CN619,2025-08-20,14:23:30,Incoming,Temperature Resistance,1.0,1.0,1.0,Pass,QC003,LOT20250820029,25
QC20250820289,WO20250820444,PRINTER_HP855,2025-08-20,10:39:58,Incoming,Chip Function,1.0,1.0,1.0,Pass,QC006,LOT20250820003,15
QC20250820290,WO20250820065,PRINTER_EP483,2025-08-20,17:55:26,Incoming,Print Quality,85.0,100.0,96.6,Pass,QC001,LOT20250820077,5
QC20250820291,WO20250820215,PRINTER_EP495,2025-08-20,11:30:26,In-Process,Page Yield,450.0,500.0,442.0,Fail,QC006,LOT20250820100,10
QC20250820292,WO20250820065,PRINTER_EP268,2025-08-20,17:09:59,Incoming,Chip Function,1.0,1.0,1.0,Pass,QC002,LOT20250820007,25
QC20250820293,WO20250820390,PRINTER_HP736,2025-08-20,12:59:53,Incoming,Ink Volume,8.5,9.5,9.2,Pass,QC002,LOT20250820014,5
QC20250820294,WO20250820386,PRINTER_BR189,2025-08-20,10:25:19,Incoming,Page Yield,450.0,500.0,525.0,Fail,QC003,LOT20250820054,25
QC20250820295,WO20250820497,PRINTER_HP900,2025-08-20,08:40:04,Final,Color Density,75.0,95.0,97.6,Fail,QC002,LOT20250820043,25
QC20250820296,WO20250820271,PRINTER_EP460,2025-08-20,12:10:10,In-Process,Temperature Resistance,1.0,1.0,1.0,Pass,QC006,LOT20250820062,20
QC20250820297,WO20250820409,PRINTER_HP362,2025-08-20,11:55:38,Incoming,Color Density,75.0,95.0,75.0,Pass,QC002,LOT20250820095,15
QC20250820298,WO20250820239,PRINTER_CN413,2025-08-20,13:00:02,In-Process,Color Density,75.0,95.0,88.2,Conditional Pass,QC001,LOT20250820091,5
QC20250820299,WO20250820222,PRINTER_EP863,2025-08-20,15:26:04,Final,Page Yield,450.0,500.0,437.0,Fail,QC004,LOT20250820032,15
QC20250820300,WO20250820163,PRINTER_EP675,2025-08-20,08:45:58,Final,Color Density,75.0,95.0,89.2,Pass,QC005,LOT20250820064,25
QC20250820301,WO20250820074,PRINTER_HP753,2025-08-20,14:28:23,Final,Durability,1.0,1.0,0.0,Fail,QC003,LOT20250820030,25
QC20250820302,WO20250820205,PRINTER_LX020,2025-08-20,12:20:54,In-Process,Durability,1.0,1.0,0.0,Fail,QC006,LOT20250820045,10
QC20250820303,WO20250820263,PRINTER_BR572,2025-08-20,11:21:29,In-Process,Chip Function,1.0,1.0,0.0,Fail,QC002,LOT20250820003,20
QC20250820304,WO20250820120,PRINTER_EP349,2025-08-20,11:40:57,In-Process,Print Quality,85.0,100.0,80.4,Fail,QC003,LOT20250820013,10
QC20250820305,WO20250820079,PRINTER_EP777,2025-08-20,15:59:16,Incoming,Durability,1.0,1.0,1.0,Pass,QC004,LOT20250820021,5
QC20250820306,WO20250820124,PRINTER_CN356,2025-08-20,08:20:58,Incoming,Leak Test,1.0,1.0,0.0,Fail,QC002,LOT20250820042,5
QC20250820307,WO20250820420,PRINTER_HP500,2025-08-20,09:23:22,Final,Weight Check,1.0,1.0,1.0,Pass,QC005,LOT20250820035,5
QC20250820308,WO20250820140,PRINTER_CN156,2025-08-20,12:21:25,Final,Ink Volume,8.5,9.5,7.7,Fail,QC003,LOT20250820048,5
QC20250820309,WO20250820068,PRINTER_EP239,2025-08-20,16:51:52,Incoming,Dimension Check,1.0,1.0,0.0,Fail,QC002,LOT20250820094,15
QC20250820310,WO20250820463,PRINTER_HP358,2025-08-20,11:46:44,Final,Durability,1.0,1.0,1.0,Pass,QC001,LOT20250820079,20
QC20250820311,WO20250820057,PRINTER_EP709,2025-08-20,15:54:48,Final,Temperature Resistance,1.0,1.0,1.0,Pass,QC004,LOT20250820056,10
QC20250820312,WO20250820089,PRINTER_LX647,2025-08-20,10:17:26,In-Process,Print Quality,85.0,100.0,100.2,Fail,QC006,LOT20250820053,10
QC20250820313,WO20250820433,PRINTER_HP688,2025-08-20,16:42:23,Outgoing,Chip Function,1.0,1.0,1.0,Pass,QC001,LOT20250820059,20
QC20250820314,WO20250820482,PRINTER_HP321,2025-08-20,08:18:09,Incoming,Temperature Resistance,1.0,1.0,1.0,Pass,QC003,LOT20250820086,20
QC20250820315,WO20250820305,PRINTER_BR472,2025-08-20,09:19:12,In-Process,Leak Test,1.0,1.0,0.0,Fail,QC005,LOT20250820006,25
QC20250820316,WO20250820020,PRINTER_HP046,2025-08-20,09:58:18,Outgoing,Ink Volume,8.5,9.5,9.62,Fail,QC005,LOT20250820020,20
QC20250820317,WO20250820426,PRINTER_LX538,2025-08-20,16:35:06,In-Process,Print Quality,85.0,100.0,83.4,Fail,QC004,LOT20250820085,5
QC20250820318,WO20250820198,PRINTER_CN569,2025-08-20,16:07:26,Outgoing,Weight Check,1.0,1.0,1.0,Pass,QC006,LOT20250820046,20
QC20250820319,WO20250820477,PRINTER_LX047,2025-08-20,13:40:02,Outgoing,Temperature Resistance,1.0,1.0,1.0,Pass,QC005,LOT20250820098,10
QC20250820320,WO20250820195,PRINTER_BR181,2025-08-20,16:02:00,Outgoing,Color Density,75.0,95.0,91.4,Pass,QC001,LOT20250820093,25
QC20250820321,WO20250820058,PRINTER_EP459,2025-08-20,10:40:12,Outgoing,Chip Function,1.0,1.0,1.0,Pass,QC001,LOT20250820060,25
QC20250820322,WO20250820115,PRINTER_HP983,2025-08-20,16:14:03,Outgoing,Durability,1.0,1.0,1.0,Pass,QC005,LOT20250820098,25
QC20250820323,WO20250820300,PRINTER_LX381,2025-08-20,09:41:16,Final,Page Yield,450.0,500.0,540.0,Fail,QC004,LOT20250820011,15
QC20250820324,WO20250820199,PRINTER_BR270,2025-08-20,17:02:27,Outgoing,Weight Check,1.0,1.0,1.0,Pass,QC001,LOT20250820072,15
QC20250820325,WO20250820391,PRINTER_BR915,2025-08-20,09:05:27,Final,Temperature Resistance,1.0,1.0,1.0,Conditional Pass,QC006,LOT20250820078,15
QC20250820326,WO20250820421,PRINTER_BR213,2025-08-20,12:15:59,Incoming,Weight Check,1.0,1.0,0.0,Fail,QC006,LOT20250820057,10
QC20250820327,WO20250820302,PRINTER_CN017,2025-08-20,08:08:22,Final,Leak Test,1.0,1.0,1.0,Pass,QC002,LOT20250820031,20
QC20250820328,WO20250820361,PRINTER_BR494,2025-08-20,11:01:43,In-Process,Ink Volume,8.5,9.5,8.45,Fail,QC004,LOT20250820014,25
QC20250820329,WO20250820401,PRINTER_CN860,2025-08-20,14:06:23,Final,Weight Check,1.0,1.0,1.0,Pass,QC001,LOT20250820014,10
QC20250820330,WO20250820135,PRINTER_HP142,2025-08-20,13:52:18,Final,Temperature Resistance,1.0,1.0,0.0,Fail,QC003,LOT20250820038,25
QC20250820331,WO20250820017,PRINTER_LX763,2025-08-20,08:42:36,In-Process,Durability,1.0,1.0,1.0,Pass,QC004,LOT20250820031,25
QC20250820332,WO20250820262,PRINTER_BR139,2025-08-20,12:24:06,Outgoing,Chip Function,1.0,1.0,0.0,Fail,QC003,LOT20250820032,25
QC20250820333,WO20250820113,PRINTER_HP029,2025-08-20,08:37:05,Final,Chip Function,1.0,1.0,1.0,Pass,QC003,LOT20250820080,10
QC20250820334,WO20250820010,PRINTER_BR709,2025-08-20,12:06:28,Outgoing,Temperature Resistance,1.0,1.0,1.0,Pass,QC004,LOT20250820020,25
QC20250820335,WO20250820318,PRINTER_BR710,2025-08-20,11:22:06,Outgoing,Color Density,75.0,95.0,74.4,Fail,QC003,LOT20250820081,20
QC20250820336,WO20250820029,PRINTER_HP170,2025-08-20,10:15:02,In-Process,Chip Function,1.0,1.0,1.0,Conditional Pass,QC004,LOT20250820096,20
QC20250820337,WO20250820232,PRINTER_HP189,2025-08-20,13:05:42,Final,Weight Check,1.0,1.0,0.0,Fail,QC001,LOT20250820067,10
QC20250820338,WO20250820396,PRINTER_LX904,2025-08-20,08:21:04,Outgoing,Leak Test,1.0,1.0,1.0,Conditional Pass,QC005,LOT20250820015,10
QC20250820339,WO20250820112,PRINTER_LX131,2025-08-20,15:33:35,Final,Page Yield,450.0,500.0,524.0,Fail,QC001,LOT20250820075,25
QC20250820340,WO20250820196,PRINTER_CN427,2025-08-20,09:20:08,Outgoing,Leak Test,1.0,1.0,1.0,Pass,QC003,LOT20250820039,15
QC20250820341,WO20250820080,PRINTER_HP149,2025-08-20,10:51:16,In-Process,Page Yield,450.0,500.0,537.0,Fail,QC004,LOT20250820025,5
QC20250820342,WO20250820126,PRINTER_BR241,2025-08-20,15:04:19,Final,Print Quality,85.0,100.0,81.8,Fail,QC001,LOT20250820069,5
QC20250820343,WO20250820357,PRINTER_CN390,2025-08-20,14:40:37,Incoming,Page Yield,450.0,500.0,431.0,Fail,QC002,LOT20250820086,25
QC20250820344,WO20250820210,PRINTER_HP393,2025-08-20,09:01:16,Outgoing,Ink Volume,8.5,9.5,9.68,Fail,QC006,LOT20250820016,5
QC20250820345,WO20250820418,PRINTER_LX824,2025-08-20,17:08:46,Final,Leak Test,1.0,1.0,0.0,Fail,QC006,LOT20250820063,20
QC20250820346,WO20250820287,PRINTER_LX686,2025-08-20,11:18:04,Incoming,Chip Function,1.0,1.0,1.0,Pass,QC001,LOT20250820026,5
QC20250820347,WO20250820265,PRINTER_HP114,2025-08-20,16:40:06,Final,Print Quality,85.0,100.0,103.5,Fail,QC001,LOT20250820090,10
QC20250820348,WO20250820081,PRINTER_EP652,2025-08-20,09:28:55,Incoming,Page Yield,450.0,500.0,479.0,Pass,QC005,LOT20250820047,20
QC20250820349,WO20250820001,PRINTER_LX763,2025-08-20,12:50:03,Outgoing,Dimension Check,1.0,1.0,0.0,Fail,QC005,LOT20250820059,25
QC20250820350,WO20250820109,PRINTER_HP023,2025-08-20,11:06:16,Final,Leak Test,1.0,1.0,1.0,Pass,QC002,LOT20250820098,10
QC20250820351,WO20250820235,PRINTER_EP678,2025-08-20,15:38:17,Incoming,Dimension Check,1.0,1.0,1.0,Conditional Pass,QC002,LOT20250820058,15
QC20250820352,WO20250820133,PRINTER_LX643,2025-08-20,17:39:58,Outgoing,Print Quality,85.0,100.0,93.1,Pass,QC005,LOT20250820014,10
QC20250820353,WO20250820202,PRINTER_LX296,2025-08-20,09:11:52,Outgoing,Page Yield,450.0,500.0,418.0,Conditional Pass,QC004,LOT20250820003,10
QC20250820354,WO20250820086,PRINTER_BR778,2025-08-20,15:22:14,Incoming,Weight Check,1.0,1.0,0.0,Fail,QC004,LOT20250820031,5
QC20250820355,WO20250820351,PRINTER_HP084,2025-08-20,08:34:38,Outgoing,Temperature Resistance,1.0,1.0,1.0,Pass,QC001,LOT20250820022,15
