WorkOrderNumber,ProductCode,ProductName,ScheduledDate,ScheduledQuantity,Priority,WorkCenter,EstimatedHours,Status,SupervisorCode
WO20250820210,PRINTER_LX470,Printer Lx Compatible Cartridge 470,2025-08-21,206,High,WC006,5.7,Cancelled,SUP001
WO20250820211,PRINTER_BR525,Printer Br Compatible Cartridge 525,2025-09-12,211,High,WC005,22.6,Scheduled,SUP002
WO20250820212,PRINTER_EP739,Printer Ep Compatible Cartridge 739,2025-09-09,1571,Low,WC007,46.5,In Progress,SUP005
WO20250820213,PRINTER_EP311,Printer Ep Compatible Cartridge 311,2025-09-08,1102,Normal,WC001,20.5,On Hold,SUP002
WO20250820214,PRINTER_BR282,Printer Br Compatible Cartridge 282,2025-09-12,1460,Normal,WC005,26.1,Scheduled,SUP005
WO20250820215,PRINTER_BR932,Printer Br Compatible Cartridge 932,2025-08-25,1438,High,WC005,4.2,In Progress,SUP001
WO20250820216,PRINTER_BR673,Printer Br Compatible Cartridge 673,2025-08-24,612,High,WC008,30.4,Completed,SUP001
WO20250820217,PRINTER_CN231,Printer Cn Compatible Cartridge 231,2025-08-20,1502,High,WC004,6.8,Completed,SUP005
WO20250820218,PRINTER_BR603,Printer Br Compatible Cartridge 603,2025-09-02,1350,High,WC009,21.1,Cancelled,SUP001
WO20250820219,PRINTER_EP349,Printer Ep Compatible Cartridge 349,2025-08-30,759,Urgent,WC003,24.3,On Hold,SUP002
WO20250820220,PRINTER_LX715,Printer Lx Compatible Cartridge 715,2025-08-25,1428,Urgent,WC005,21.7,Cancelled,SUP001
WO20250820221,PRINTER_BR575,Printer Br Compatible Cartridge 575,2025-08-31,220,Normal,WC009,20.2,Completed,SUP003
WO20250820222,PRINTER_BR691,Printer Br Compatible Cartridge 691,2025-09-03,110,Normal,WC010,29.7,Cancelled,SUP003
WO20250820223,PRINTER_LX442,Printer Lx Compatible Cartridge 442,2025-09-02,1616,Low,WC005,28.5,On Hold,SUP002
WO20250820224,PRINTER_BR944,Printer Br Compatible Cartridge 944,2025-09-06,319,Urgent,WC010,45.7,Scheduled,SUP001
WO20250820225,PRINTER_BR224,Printer Br Compatible Cartridge 224,2025-08-26,276,High,WC003,42.1,On Hold,SUP005
WO20250820226,PRINTER_BR361,Printer Br Compatible Cartridge 361,2025-09-13,495,Urgent,WC010,16.3,Completed,SUP001
WO20250820227,PRINTER_EP515,Printer Ep Compatible Cartridge 515,2025-09-06,1140,Urgent,WC004,41.8,On Hold,SUP004
WO20250820228,PRINTER_EP846,Printer Ep Compatible Cartridge 846,2025-09-18,970,Normal,WC003,21.6,Scheduled,SUP005
WO20250820229,PRINTER_EP782,Printer Ep Compatible Cartridge 782,2025-09-03,1393,Normal,WC002,20.9,On Hold,SUP004
WO20250820230,PRINTER_BR194,Printer Br Compatible Cartridge 194,2025-09-09,109,Normal,WC003,30.8,Cancelled,SUP001
WO20250820231,PRINTER_LX585,Printer Lx Compatible Cartridge 585,2025-09-12,887,Low,WC006,30.8,In Progress,SUP005
WO20250820232,PRINTER_BR701,Printer Br Compatible Cartridge 701,2025-08-22,1999,High,WC001,36.7,On Hold,SUP005
WO20250820233,PRINTER_LX885,Printer Lx Compatible Cartridge 885,2025-08-26,1791,Normal,WC008,20.2,In Progress,SUP002
WO20250820234,PRINTER_BR960,Printer Br Compatible Cartridge 960,2025-09-11,1936,Normal,WC006,9.8,Scheduled,SUP001
WO20250820235,PRINTER_CN592,Printer Cn Compatible Cartridge 592,2025-09-03,990,Normal,WC010,23.5,In Progress,SUP002
WO20250820236,PRINTER_BR513,Printer Br Compatible Cartridge 513,2025-09-09,277,High,WC003,14.8,Scheduled,SUP001
WO20250820237,PRINTER_HP699,Printer Hp Compatible Cartridge 699,2025-09-10,882,Urgent,WC007,7.1,On Hold,SUP003
WO20250820238,PRINTER_LX124,Printer Lx Compatible Cartridge 124,2025-09-11,1640,Low,WC008,25.2,Scheduled,SUP003
WO20250820239,PRINTER_BR849,Printer Br Compatible Cartridge 849,2025-09-15,1535,Low,WC006,21.6,Cancelled,SUP004
WO20250820240,PRINTER_BR807,Printer Br Compatible Cartridge 807,2025-08-23,262,Normal,WC005,37.3,Cancelled,SUP001
WO20250820241,PRINTER_CN376,Printer Cn Compatible Cartridge 376,2025-09-02,1394,High,WC003,44.2,On Hold,SUP002
WO20250820242,PRINTER_EP100,Printer Ep Compatible Cartridge 100,2025-08-30,1364,Low,WC008,43.6,On Hold,SUP002
WO20250820243,PRINTER_EP351,Printer Ep Compatible Cartridge 351,2025-08-29,1461,Urgent,WC006,38.6,Completed,SUP005
WO20250820244,PRINTER_EP609,Printer Ep Compatible Cartridge 609,2025-08-21,1609,Normal,WC003,27.0,Scheduled,SUP002
WO20250820245,PRINTER_EP578,Printer Ep Compatible Cartridge 578,2025-08-31,1511,High,WC005,45.6,In Progress,SUP005
WO20250820246,PRINTER_EP487,Printer Ep Compatible Cartridge 487,2025-09-11,950,High,WC003,36.7,In Progress,SUP002
WO20250820247,PRINTER_LX300,Printer Lx Compatible Cartridge 300,2025-09-16,836,High,WC004,5.2,In Progress,SUP005
WO20250820248,PRINTER_EP152,Printer Ep Compatible Cartridge 152,2025-09-07,74,High,WC006,35.7,Cancelled,SUP004
WO20250820249,PRINTER_BR634,Printer Br Compatible Cartridge 634,2025-09-17,398,High,WC003,29.8,Cancelled,SUP003
WO20250820250,PRINTER_LX384,Printer Lx Compatible Cartridge 384,2025-09-01,1822,Urgent,WC003,42.3,On Hold,SUP002
WO20250820251,PRINTER_BR919,Printer Br Compatible Cartridge 919,2025-09-01,79,Low,WC006,13.9,In Progress,SUP002
WO20250820252,PRINTER_CN285,Printer Cn Compatible Cartridge 285,2025-09-08,1643,Low,WC004,19.7,On Hold,SUP005
WO20250820253,PRINTER_HP861,Printer Hp Compatible Cartridge 861,2025-09-12,1782,Normal,WC004,20.0,Scheduled,SUP004
WO20250820254,PRINTER_HP975,Printer Hp Compatible Cartridge 975,2025-08-30,1089,Low,WC005,28.3,Cancelled,SUP005
WO20250820255,PRINTER_HP994,Printer Hp Compatible Cartridge 994,2025-09-14,164,Urgent,WC010,27.0,In Progress,SUP003
WO20250820256,PRINTER_CN707,Printer Cn Compatible Cartridge 707,2025-09-18,1382,Normal,WC004,34.3,On Hold,SUP002
WO20250820257,PRINTER_HP624,Printer Hp Compatible Cartridge 624,2025-08-28,1180,High,WC002,36.7,Scheduled,SUP002
WO20250820258,PRINTER_LX311,Printer Lx Compatible Cartridge 311,2025-08-21,475,Normal,WC004,29.8,Cancelled,SUP004
WO20250820259,PRINTER_BR101,Printer Br Compatible Cartridge 101,2025-09-06,1855,Low,WC006,38.8,Scheduled,SUP002
WO20250820260,PRINTER_BR120,Printer Br Compatible Cartridge 120,2025-09-03,220,Urgent,WC004,8.4,Cancelled,SUP002
WO20250820261,PRINTER_LX499,Printer Lx Compatible Cartridge 499,2025-08-29,1215,Low,WC010,22.9,Scheduled,SUP004
WO20250820262,PRINTER_CN604,Printer Cn Compatible Cartridge 604,2025-09-14,1350,Urgent,WC001,15.1,On Hold,SUP005
WO20250820263,PRINTER_EP505,Printer Ep Compatible Cartridge 505,2025-09-09,411,High,WC009,25.3,Completed,SUP003
WO20250820264,PRINTER_EP889,Printer Ep Compatible Cartridge 889,2025-09-06,559,High,WC005,33.8,Cancelled,SUP003
WO20250820265,PRINTER_BR115,Printer Br Compatible Cartridge 115,2025-09-13,1986,Normal,WC008,4.3,Cancelled,SUP004
WO20250820266,PRINTER_BR168,Printer Br Compatible Cartridge 168,2025-08-25,184,Urgent,WC005,8.2,On Hold,SUP003
WO20250820267,PRINTER_LX843,Printer Lx Compatible Cartridge 843,2025-08-25,446,Low,WC004,13.4,Cancelled,SUP003
WO20250820268,PRINTER_EP785,Printer Ep Compatible Cartridge 785,2025-09-05,1016,Low,WC005,44.8,In Progress,SUP005
WO20250820269,PRINTER_CN332,Printer Cn Compatible Cartridge 332,2025-08-25,443,Urgent,WC003,41.5,Cancelled,SUP002
WO20250820270,PRINTER_EP980,Printer Ep Compatible Cartridge 980,2025-09-05,1020,Urgent,WC005,14.1,Completed,SUP004
WO20250820271,PRINTER_EP380,Printer Ep Compatible Cartridge 380,2025-08-24,677,High,WC006,40.5,Completed,SUP004
WO20250820272,PRINTER_EP436,Printer Ep Compatible Cartridge 436,2025-09-07,855,Urgent,WC001,37.5,On Hold,SUP001
WO20250820273,PRINTER_BR363,Printer Br Compatible Cartridge 363,2025-09-09,1699,Normal,WC008,37.8,Scheduled,SUP002
WO20250820274,PRINTER_CN678,Printer Cn Compatible Cartridge 678,2025-09-11,574,High,WC006,5.0,On Hold,SUP004
WO20250820275,PRINTER_EP572,Printer Ep Compatible Cartridge 572,2025-09-06,1563,Normal,WC004,31.2,On Hold,SUP003
WO20250820276,PRINTER_HP077,Printer Hp Compatible Cartridge 077,2025-08-27,378,High,WC008,45.4,Cancelled,SUP004
WO20250820277,PRINTER_HP800,Printer Hp Compatible Cartridge 800,2025-09-10,848,Urgent,WC004,16.3,Cancelled,SUP005
WO20250820278,PRINTER_BR061,Printer Br Compatible Cartridge 061,2025-08-23,164,High,WC005,27.7,On Hold,SUP003
WO20250820279,PRINTER_HP484,Printer Hp Compatible Cartridge 484,2025-08-24,1853,Low,WC006,47.0,On Hold,SUP002
WO20250820280,PRINTER_CN604,Printer Cn Compatible Cartridge 604,2025-08-29,1225,Normal,WC009,7.9,In Progress,SUP003
WO20250820281,PRINTER_LX560,Printer Lx Compatible Cartridge 560,2025-09-13,1403,High,WC009,27.4,Completed,SUP001
WO20250820282,PRINTER_CN791,Printer Cn Compatible Cartridge 791,2025-09-13,189,High,WC006,43.8,On Hold,SUP002
WO20250820283,PRINTER_CN329,Printer Cn Compatible Cartridge 329,2025-09-03,516,Urgent,WC006,18.7,Completed,SUP003
WO20250820284,PRINTER_LX766,Printer Lx Compatible Cartridge 766,2025-09-18,97,Normal,WC002,32.3,On Hold,SUP004
WO20250820285,PRINTER_BR818,Printer Br Compatible Cartridge 818,2025-08-21,1753,Low,WC009,20.4,Cancelled,SUP004
WO20250820286,PRINTER_HP983,Printer Hp Compatible Cartridge 983,2025-09-05,1838,High,WC009,25.6,Cancelled,SUP003
WO20250820287,PRINTER_HP753,Printer Hp Compatible Cartridge 753,2025-08-22,1207,Low,WC009,38.3,Cancelled,SUP002
WO20250820288,PRINTER_LX867,Printer Lx Compatible Cartridge 867,2025-09-16,229,Urgent,WC010,32.6,In Progress,SUP001
WO20250820289,PRINTER_BR838,Printer Br Compatible Cartridge 838,2025-08-28,1003,Urgent,WC003,32.6,Scheduled,SUP002
WO20250820290,PRINTER_LX348,Printer Lx Compatible Cartridge 348,2025-09-03,1130,Urgent,WC001,21.7,Completed,SUP001
WO20250820291,PRINTER_LX849,Printer Lx Compatible Cartridge 849,2025-09-01,88,Low,WC004,18.2,In Progress,SUP003
WO20250820292,PRINTER_CN599,Printer Cn Compatible Cartridge 599,2025-09-10,1622,High,WC009,24.1,In Progress,SUP005
WO20250820293,PRINTER_EP915,Printer Ep Compatible Cartridge 915,2025-09-17,1514,Normal,WC004,38.0,In Progress,SUP003
WO20250820294,PRINTER_CN104,Printer Cn Compatible Cartridge 104,2025-08-20,1142,Low,WC003,27.8,Scheduled,SUP003
WO20250820295,PRINTER_EP951,Printer Ep Compatible Cartridge 951,2025-08-27,1397,Normal,WC004,17.3,On Hold,SUP003
WO20250820296,PRINTER_CN959,Printer Cn Compatible Cartridge 959,2025-09-18,494,High,WC001,10.0,On Hold,SUP001
WO20250820297,PRINTER_BR027,Printer Br Compatible Cartridge 027,2025-09-03,1826,Normal,WC007,6.2,On Hold,SUP004
WO20250820298,PRINTER_CN211,Printer Cn Compatible Cartridge 211,2025-09-13,829,Low,WC002,46.6,Cancelled,SUP005
WO20250820299,PRINTER_LX125,Printer Lx Compatible Cartridge 125,2025-08-25,1599,Normal,WC002,45.4,Cancelled,SUP003
WO20250820300,PRINTER_EP426,Printer Ep Compatible Cartridge 426,2025-08-26,480,Low,WC009,19.8,Completed,SUP005
WO20250820301,PRINTER_HP968,Printer Hp Compatible Cartridge 968,2025-09-03,83,Low,WC007,39.4,On Hold,SUP001
WO20250820302,PRINTER_EP370,Printer Ep Compatible Cartridge 370,2025-09-19,684,Low,WC007,45.6,Completed,SUP002
WO20250820303,PRINTER_HP667,Printer Hp Compatible Cartridge 667,2025-09-09,1709,Urgent,WC008,4.7,Completed,SUP003
WO20250820304,PRINTER_HP145,Printer Hp Compatible Cartridge 145,2025-09-16,559,Normal,WC010,4.4,Cancelled,SUP002
WO20250820305,PRINTER_CN712,Printer Cn Compatible Cartridge 712,2025-09-04,1611,Low,WC001,30.2,In Progress,SUP003
WO20250820306,PRINTER_EP633,Printer Ep Compatible Cartridge 633,2025-09-02,1736,Normal,WC007,11.6,Cancelled,SUP002
WO20250820307,PRINTER_CN374,Printer Cn Compatible Cartridge 374,2025-09-17,1944,Low,WC003,5.3,In Progress,SUP003
WO20250820308,PRINTER_BR641,Printer Br Compatible Cartridge 641,2025-08-31,1911,High,WC010,18.1,Scheduled,SUP003
WO20250820309,PRINTER_HP911,Printer Hp Compatible Cartridge 911,2025-09-04,120,Normal,WC007,6.0,On Hold,SUP005
WO20250820310,PRINTER_LX174,Printer Lx Compatible Cartridge 174,2025-08-25,255,Low,WC006,43.5,Scheduled,SUP004
WO20250820311,PRINTER_HP116,Printer Hp Compatible Cartridge 116,2025-09-19,1024,Urgent,WC007,41.7,Cancelled,SUP004
WO20250820312,PRINTER_CN878,Printer Cn Compatible Cartridge 878,2025-09-08,1707,Low,WC005,25.0,Completed,SUP002
WO20250820313,PRINTER_EP673,Printer Ep Compatible Cartridge 673,2025-09-06,798,Low,WC008,25.7,Cancelled,SUP002
WO20250820314,PRINTER_CN225,Printer Cn Compatible Cartridge 225,2025-09-05,315,Normal,WC004,33.0,Scheduled,SUP004
WO20250820315,PRINTER_EP909,Printer Ep Compatible Cartridge 909,2025-09-08,265,Normal,WC004,15.0,Completed,SUP003
WO20250820316,PRINTER_BR685,Printer Br Compatible Cartridge 685,2025-09-07,1114,High,WC003,18.4,Completed,SUP002
WO20250820317,PRINTER_LX755,Printer Lx Compatible Cartridge 755,2025-09-18,1792,Low,WC007,31.8,In Progress,SUP002
WO20250820318,PRINTER_HP147,Printer Hp Compatible Cartridge 147,2025-09-09,119,Normal,WC003,21.5,Scheduled,SUP005
WO20250820319,PRINTER_BR496,Printer Br Compatible Cartridge 496,2025-09-16,754,Normal,WC010,21.8,In Progress,SUP004
WO20250820320,PRINTER_LX270,Printer Lx Compatible Cartridge 270,2025-09-06,950,Low,WC005,32.8,Cancelled,SUP003
WO20250820321,PRINTER_EP914,Printer Ep Compatible Cartridge 914,2025-08-25,572,High,WC008,38.0,On Hold,SUP001
WO20250820322,PRINTER_EP782,Printer Ep Compatible Cartridge 782,2025-09-05,588,Low,WC006,22.8,Scheduled,SUP005
WO20250820323,PRINTER_CN097,Printer Cn Compatible Cartridge 097,2025-08-27,986,Low,WC002,28.2,Completed,SUP002
WO20250820324,PRINTER_EP315,Printer Ep Compatible Cartridge 315,2025-09-03,943,Low,WC009,12.0,Cancelled,SUP002
WO20250820325,PRINTER_CN861,Printer Cn Compatible Cartridge 861,2025-09-10,504,Low,WC004,36.3,Completed,SUP005
WO20250820326,PRINTER_LX799,Printer Lx Compatible Cartridge 799,2025-08-24,1202,Low,WC009,20.0,In Progress,SUP005
WO20250820327,PRINTER_CN384,Printer Cn Compatible Cartridge 384,2025-08-25,255,Normal,WC010,14.0,In Progress,SUP005
WO20250820328,PRINTER_LX435,Printer Lx Compatible Cartridge 435,2025-09-16,464,High,WC001,46.2,On Hold,SUP003
WO20250820329,PRINTER_BR923,Printer Br Compatible Cartridge 923,2025-09-05,912,Urgent,WC008,18.2,Completed,SUP001
WO20250820330,PRINTER_HP258,Printer Hp Compatible Cartridge 258,2025-09-11,1188,High,WC004,44.6,Cancelled,SUP005
WO20250820331,PRINTER_HP061,Printer Hp Compatible Cartridge 061,2025-09-13,890,Normal,WC003,25.2,In Progress,SUP002
WO20250820332,PRINTER_BR806,Printer Br Compatible Cartridge 806,2025-08-25,1373,Urgent,WC007,30.0,In Progress,SUP003
WO20250820333,PRINTER_HP232,Printer Hp Compatible Cartridge 232,2025-09-19,1993,High,WC003,43.3,Scheduled,SUP005
WO20250820334,PRINTER_CN211,Printer Cn Compatible Cartridge 211,2025-09-03,341,High,WC006,4.5,Scheduled,SUP005
WO20250820335,PRINTER_EP537,Printer Ep Compatible Cartridge 537,2025-08-23,1630,Urgent,WC004,33.1,Completed,SUP001
WO20250820336,PRINTER_LX761,Printer Lx Compatible Cartridge 761,2025-09-08,980,Normal,WC002,42.7,Completed,SUP003
WO20250820337,PRINTER_HP391,Printer Hp Compatible Cartridge 391,2025-09-15,1875,High,WC002,31.6,On Hold,SUP005
WO20250820338,PRINTER_CN898,Printer Cn Compatible Cartridge 898,2025-09-11,1466,Urgent,WC005,13.9,Scheduled,SUP001
WO20250820339,PRINTER_LX983,Printer Lx Compatible Cartridge 983,2025-09-08,1821,High,WC004,42.3,On Hold,SUP004
WO20250820340,PRINTER_BR059,Printer Br Compatible Cartridge 059,2025-09-09,265,High,WC005,43.8,Cancelled,SUP003
WO20250820341,PRINTER_BR683,Printer Br Compatible Cartridge 683,2025-09-15,564,High,WC002,4.6,On Hold,SUP002
WO20250820342,PRINTER_LX507,Printer Lx Compatible Cartridge 507,2025-08-27,1260,Urgent,WC005,8.6,On Hold,SUP005
WO20250820343,PRINTER_LX858,Printer Lx Compatible Cartridge 858,2025-09-07,819,Urgent,WC001,30.5,Cancelled,SUP001
WO20250820344,PRINTER_LX098,Printer Lx Compatible Cartridge 098,2025-08-23,1614,Normal,WC006,29.5,Cancelled,SUP004
WO20250820345,PRINTER_BR736,Printer Br Compatible Cartridge 736,2025-09-12,131,High,WC008,41.5,Cancelled,SUP005
WO20250820346,PRINTER_HP963,Printer Hp Compatible Cartridge 963,2025-09-01,1715,Urgent,WC001,13.5,In Progress,SUP001
WO20250820347,PRINTER_EP102,Printer Ep Compatible Cartridge 102,2025-08-29,1935,Urgent,WC001,36.1,Completed,SUP003
WO20250820348,PRINTER_EP361,Printer Ep Compatible Cartridge 361,2025-09-19,559,High,WC008,38.5,Completed,SUP004
WO20250820349,PRINTER_EP788,Printer Ep Compatible Cartridge 788,2025-09-14,378,Normal,WC009,37.9,Cancelled,SUP003
WO20250820350,PRINTER_BR772,Printer Br Compatible Cartridge 772,2025-08-31,1649,Normal,WC008,41.7,Completed,SUP003
WO20250820351,PRINTER_LX552,Printer Lx Compatible Cartridge 552,2025-09-12,1698,Normal,WC006,40.5,Scheduled,SUP001
WO20250820352,PRINTER_BR321,Printer Br Compatible Cartridge 321,2025-09-08,1068,Normal,WC007,12.9,On Hold,SUP003
WO20250820353,PRINTER_EP826,Printer Ep Compatible Cartridge 826,2025-09-03,1884,High,WC003,46.2,Completed,SUP001
WO20250820354,PRINTER_HP195,Printer Hp Compatible Cartridge 195,2025-09-07,685,High,WC009,27.7,On Hold,SUP005
WO20250820355,PRINTER_HP204,Printer Hp Compatible Cartridge 204,2025-08-22,235,Urgent,WC005,10.4,Completed,SUP005
WO20250820356,PRINTER_EP407,Printer Ep Compatible Cartridge 407,2025-08-24,1936,Urgent,WC002,41.2,Completed,SUP005
WO20250820357,PRINTER_LX995,Printer Lx Compatible Cartridge 995,2025-08-22,713,Normal,WC008,40.3,In Progress,SUP005
WO20250820358,PRINTER_CN684,Printer Cn Compatible Cartridge 684,2025-08-28,103,Urgent,WC004,40.7,In Progress,SUP002
WO20250820359,PRINTER_CN451,Printer Cn Compatible Cartridge 451,2025-09-09,1712,Normal,WC003,4.5,In Progress,SUP001
WO20250820360,PRINTER_LX495,Printer Lx Compatible Cartridge 495,2025-09-15,948,Urgent,WC009,28.3,Cancelled,SUP002
WO20250820361,PRINTER_BR191,Printer Br Compatible Cartridge 191,2025-09-16,1112,Urgent,WC010,43.1,On Hold,SUP003
WO20250820362,PRINTER_EP823,Printer Ep Compatible Cartridge 823,2025-09-14,589,Urgent,WC006,20.0,In Progress,SUP003
WO20250820363,PRINTER_LX366,Printer Lx Compatible Cartridge 366,2025-08-22,1469,Normal,WC006,41.8,In Progress,SUP005
WO20250820364,PRINTER_LX132,Printer Lx Compatible Cartridge 132,2025-08-23,1928,Urgent,WC009,17.8,Cancelled,SUP002
WO20250820365,PRINTER_EP735,Printer Ep Compatible Cartridge 735,2025-09-11,1370,Normal,WC008,15.8,Scheduled,SUP004
WO20250820366,PRINTER_LX449,Printer Lx Compatible Cartridge 449,2025-09-04,1260,Urgent,WC002,45.9,In Progress,SUP001
WO20250820367,PRINTER_LX460,Printer Lx Compatible Cartridge 460,2025-09-06,1381,Low,WC006,25.0,In Progress,SUP001
WO20250820368,PRINTER_EP067,Printer Ep Compatible Cartridge 067,2025-09-19,1522,High,WC010,15.1,Scheduled,SUP005
WO20250820369,PRINTER_BR442,Printer Br Compatible Cartridge 442,2025-09-11,1615,Normal,WC007,13.5,On Hold,SUP003
WO20250820370,PRINTER_LX714,Printer Lx Compatible Cartridge 714,2025-09-10,673,High,WC004,29.1,Cancelled,SUP004
WO20250820371,PRINTER_CN785,Printer Cn Compatible Cartridge 785,2025-09-06,1445,High,WC001,46.7,Scheduled,SUP003
WO20250820372,PRINTER_LX123,Printer Lx Compatible Cartridge 123,2025-09-13,195,Low,WC009,22.2,In Progress,SUP002
WO20250820373,PRINTER_CN616,Printer Cn Compatible Cartridge 616,2025-09-13,1604,Normal,WC003,5.3,On Hold,SUP001
WO20250820374,PRINTER_EP092,Printer Ep Compatible Cartridge 092,2025-08-23,1987,Urgent,WC010,34.8,On Hold,SUP004
WO20250820375,PRINTER_BR714,Printer Br Compatible Cartridge 714,2025-09-04,333,High,WC003,8.2,Completed,SUP002
WO20250820376,PRINTER_BR901,Printer Br Compatible Cartridge 901,2025-08-28,1073,Low,WC003,15.5,In Progress,SUP002
WO20250820377,PRINTER_EP663,Printer Ep Compatible Cartridge 663,2025-09-09,217,High,WC008,37.1,Cancelled,SUP003
WO20250820378,PRINTER_HP901,Printer Hp Compatible Cartridge 901,2025-09-08,174,Low,WC006,8.2,Scheduled,SUP005
WO20250820379,PRINTER_HP005,Printer Hp Compatible Cartridge 005,2025-08-30,837,High,WC001,39.2,Cancelled,SUP005
WO20250820380,PRINTER_EP880,Printer Ep Compatible Cartridge 880,2025-08-22,403,Normal,WC010,25.9,Cancelled,SUP002
WO20250820381,PRINTER_EP100,Printer Ep Compatible Cartridge 100,2025-09-16,1449,Normal,WC010,20.5,In Progress,SUP004
WO20250820382,PRINTER_CN520,Printer Cn Compatible Cartridge 520,2025-08-24,1717,Urgent,WC001,31.4,Cancelled,SUP001
WO20250820383,PRINTER_EP958,Printer Ep Compatible Cartridge 958,2025-08-29,270,High,WC003,30.0,In Progress,SUP001
WO20250820384,PRINTER_BR198,Printer Br Compatible Cartridge 198,2025-09-08,367,High,WC008,44.9,Cancelled,SUP004
WO20250820385,PRINTER_BR967,Printer Br Compatible Cartridge 967,2025-08-23,1419,Low,WC006,14.8,In Progress,SUP002
WO20250820386,PRINTER_BR193,Printer Br Compatible Cartridge 193,2025-09-14,877,Low,WC006,6.6,On Hold,SUP005
WO20250820387,PRINTER_HP869,Printer Hp Compatible Cartridge 869,2025-09-05,236,High,WC009,28.8,Cancelled,SUP005
WO20250820388,PRINTER_BR776,Printer Br Compatible Cartridge 776,2025-09-06,1367,Normal,WC005,18.1,On Hold,SUP002
WO20250820389,PRINTER_EP967,Printer Ep Compatible Cartridge 967,2025-09-09,923,Urgent,WC007,20.6,On Hold,SUP001
WO20250820390,PRINTER_BR107,Printer Br Compatible Cartridge 107,2025-08-30,1199,Urgent,WC010,21.1,On Hold,SUP003
WO20250820391,PRINTER_HP541,Printer Hp Compatible Cartridge 541,2025-09-15,135,Normal,WC002,17.5,Cancelled,SUP005
WO20250820392,PRINTER_LX178,Printer Lx Compatible Cartridge 178,2025-09-09,692,Low,WC009,5.2,Completed,SUP004
WO20250820393,PRINTER_CN361,Printer Cn Compatible Cartridge 361,2025-09-19,1151,Low,WC007,36.5,Cancelled,SUP002
WO20250820394,PRINTER_LX380,Printer Lx Compatible Cartridge 380,2025-09-10,1481,Low,WC004,8.3,In Progress,SUP002
WO20250820395,PRINTER_EP075,Printer Ep Compatible Cartridge 075,2025-09-11,466,Urgent,WC004,29.1,Cancelled,SUP001
WO20250820396,PRINTER_HP945,Printer Hp Compatible Cartridge 945,2025-09-01,471,Low,WC005,4.2,In Progress,SUP003
WO20250820397,PRINTER_CN400,Printer Cn Compatible Cartridge 400,2025-09-15,517,High,WC007,6.0,In Progress,SUP005
WO20250820398,PRINTER_CN637,Printer Cn Compatible Cartridge 637,2025-09-10,578,Urgent,WC010,35.2,Completed,SUP002
WO20250820399,PRINTER_EP420,Printer Ep Compatible Cartridge 420,2025-09-11,70,Urgent,WC007,20.6,In Progress,SUP004
WO20250820400,PRINTER_EP615,Printer Ep Compatible Cartridge 615,2025-08-20,1333,Urgent,WC001,34.6,On Hold,SUP002
WO20250820401,PRINTER_CN073,Printer Cn Compatible Cartridge 073,2025-09-09,284,Low,WC003,43.7,On Hold,SUP001
WO20250820402,PRINTER_CN550,Printer Cn Compatible Cartridge 550,2025-08-30,392,High,WC007,16.5,Completed,SUP003
WO20250820403,PRINTER_LX268,Printer Lx Compatible Cartridge 268,2025-08-23,1608,Low,WC007,40.2,In Progress,SUP001
WO20250820404,PRINTER_LX867,Printer Lx Compatible Cartridge 867,2025-09-04,461,Normal,WC009,47.8,On Hold,SUP004
WO20250820405,PRINTER_HP115,Printer Hp Compatible Cartridge 115,2025-08-27,127,Urgent,WC003,7.7,Scheduled,SUP002
WO20250820406,PRINTER_BR631,Printer Br Compatible Cartridge 631,2025-08-31,947,Normal,WC008,30.3,Scheduled,SUP005
WO20250820407,PRINTER_CN787,Printer Cn Compatible Cartridge 787,2025-08-26,1534,High,WC001,29.0,In Progress,SUP003
WO20250820408,PRINTER_EP944,Printer Ep Compatible Cartridge 944,2025-08-25,767,Urgent,WC004,43.7,Scheduled,SUP004
WO20250820409,PRINTER_BR157,Printer Br Compatible Cartridge 157,2025-09-19,647,Low,WC004,12.1,In Progress,SUP003
WO20250820410,PRINTER_BR026,Printer Br Compatible Cartridge 026,2025-09-16,952,Low,WC004,30.5,Completed,SUP005
WO20250820411,PRINTER_CN147,Printer Cn Compatible Cartridge 147,2025-09-06,700,Low,WC002,34.1,On Hold,SUP005
WO20250820412,PRINTER_LX018,Printer Lx Compatible Cartridge 018,2025-09-08,1525,Normal,WC006,20.3,In Progress,SUP001
WO20250820413,PRINTER_CN007,Printer Cn Compatible Cartridge 007,2025-09-01,57,Low,WC007,37.8,Scheduled,SUP002
WO20250820414,PRINTER_HP578,Printer Hp Compatible Cartridge 578,2025-09-06,201,Low,WC008,45.2,On Hold,SUP003
WO20250820415,PRINTER_LX397,Printer Lx Compatible Cartridge 397,2025-09-03,1914,Normal,WC008,31.0,Completed,SUP004
WO20250820416,PRINTER_BR942,Printer Br Compatible Cartridge 942,2025-09-17,363,Urgent,WC009,42.7,In Progress,SUP002
WO20250820417,PRINTER_EP653,Printer Ep Compatible Cartridge 653,2025-09-12,407,Urgent,WC005,42.8,Completed,SUP001
WO20250820418,PRINTER_BR825,Printer Br Compatible Cartridge 825,2025-08-29,344,Low,WC008,22.1,Cancelled,SUP002
WO20250820419,PRINTER_BR129,Printer Br Compatible Cartridge 129,2025-09-15,1333,High,WC004,45.4,On Hold,SUP004
WO20250820420,PRINTER_BR752,Printer Br Compatible Cartridge 752,2025-09-03,959,Urgent,WC008,20.0,Completed,SUP004
